source_start,source_end,target_start,target_end
8001da60,8001f354,8001d9c0,8001f2b4
80020884,80023554,800207b4,80023484
80023558,80028214,80023488,80028144
80028368,8003ca20,8002826c,8003c924
8003d624,80053af0,8003d52c,800539f8
80053c50,80057118,80053b58,80057020
800572d0,80072f04,800571d8,80072e0c
80073494,80078e6c,8007339c,80078d74
80078e70,80080b04,80078d78,80080a0c
800817fc,800845a4,80081748,800844f0
800858b8,800a14a0,80085b6c,800a1754
800a1808,800cc1b0,800a1a24,800cc3cc
800cc358,800d22d8,800cc574,800d24f4
800d22d8,800d7c20,800d2520,800d7e68
800d8370,800e0e60,800d8560,800e1050
800e0e74,800e4858,800e105c,800e4a40
800e48b4,800e9190,800e4a50,800e932c
800e9a90,800ef1b4,800e9944,800ef068
800ef394,800f1fc0,800ef20c,800f1e38
800f221c,800f4d8c,800f1f8c,800f4afc
800f5694,800f8434,800f52d4,800f8074
800f897c,800fc180,800f85b0,800fbdb4
800fdbb4,800ffdb0,800fd228,800ff424
80100234,80101a58,800ff8a8,801010cc
80101dfc,8010aec4,8010143c,8010a504
8010b2ec,8010c440,8010a92c,8010ba80
8010c4a4,801121dc,8010ba80,801117b8
80112348,8012b098,8011190c,8012a65c
8012b20c,801369b0,8012a7b0,80135f54
80136d1c,8013b290,801362b4,8013a828
8013c5d8,80147bd4,8013bb2c,80147128
80147c30,80157938,80147184,80156e8c
80157994,8015eb58,80156ee8,8015e0ac
8015edec,80161d70,8015e2c8,8016124c
80162a2c,80165780,80161ec4,80164c18
80165888,8016a648,80164cfc,80169abc
8016a67c,8016b9a0,80169af0,8016ae14
8016b9dc,8016eb40,8016ae50,8016dfb4
8016eb48,80178b00,8016dfbc,80177f74
8017a318,8017b8c0,801796b8,8017ac60
8017bc40,8017e890,8017afcc,8017dc1c
80180cb4,8018e0f8,80180000,8018d444
8018e3b4,80193adc,8018d6e8,80192e10
80194d98,8019a17c,80193fa0,80199384
8019af64,8019e29c,8019a118,8019d450
8019e2e0,801a2ca0,8019d58c,801a1f4c
801a2ee4,801a5e6c,801a22e4,801a526c
801a5f80,801a74f0,801a5380,801a68f0
801a8400,801aaeb4,801a7650,801aa104
801aeefc,801b2934,801adfd4,801b1a0c
801b338c,801b8114,801b2334,801b70bc
801b8140,801b9c84,801b70b0,801b8bf4
801b9c88,801c793c,801b8bf8,801c68ac
801c8aa8,801ca488,801c78a4,801c9284
801ca5d8,801cb77c,801c93c0,801ca564
801cb7f8,801cc900,801ca5d8,801cb6e0
801cc90c,801d1248,801cb6f0,801d002c
801d1414,801d25b8,801d01b8,801d135c
801d25f4,801d5f20,801d135c,801d4c88
801d626c,801dad74,801d500c,801d9b14
801dd908,801e20d4,801dc648,801e0e14
801e21f4,801e3a28,801e0f64,801e2798
801e3e90,801e718c,801e2bb0,801e5eac
801e72b8,801ea998,801e6004,801e96e4
801eb4f8,801ee470,801ea238,801ed1b0
801ee53c,801f26dc,801ed220,801f13c0
801f2858,801fb46c,801f14f8,801fa10c
801fdd90,80200c38,801fc3d0,801ff278
80200d5c,80202e6c,801ff26c,8020137c
80202ea8,8020454c,8020137c,80202a20
80204588,8020ebf0,80202a20,8020d088
8020ef04,80214514,8020d380,80212990
80215230,80217214,802135a8,8021558c
80217284,8021dbcc,8021558c,8021bed4
8021dc40,8021fcc0,8021bed4,8021df54
8021fce4,80225bf0,8021df54,80223e60
80225ddc,8022dd70,80224034,8022bfc8
8022f128,80230c2c,8022d2e8,8022edec
80230c80,80232b70,8022edec,80230cdc
8023435c,802385a4,802323e0,80236628
802385e0,8023ce1c,80236638,8023ae74
8023ce1c,8023e648,8023ae7c,8023c6a8
8023f0d4,802416f4,8023d058,8023f678
80241d7c,8024bbac,8023fc90,80249ac0
8024bdc8,80268a4c,80249bdc,80266860
80268a50,80287130,80266860,80284f40
80287cc4,80288e00,802859b4,80286af0
8028a640,8028ba9c,802882b0,8028970c
8028badc,802ce840,8028970c,802cc470
802ce8b8,802d32a0,802cc4cc,802d0eb4
802d32c0,802d610c,802d0ec0,802d3d0c
802d9368,802e2084,802d7004,802dfd20
802e208c,802ea570,802dfd28,802e820c
802eb31c,802ed428,802e8fb8,802eb0c4
802ed4cc,802f3100,802eb164,802f0d98
802f3ac4,802f8c50,802f1708,802f6894
802f8d70,802fcf28,802f6950,802fab08
802fd19c,8031bf00,802fad50,80319ab4
